label,timestamp,S0_405nm,S0_425nm,S0_450nm,S0_475nm,S0_515nm,S0_550nm,S0_555nm,S0_600nm,S0_640nm,S0_690nm,S0_745nm,S0_855nm,S1_405nm,S1_425nm,S1_450nm,S1_475nm,S1_515nm,S1_550nm,S1_555nm,S1_600nm,S1_640nm,S1_690nm,S1_745nm,S1_855nm,S2_405nm,S2_425nm,S2_450nm,S2_475nm,S2_515nm,S2_550nm,S2_555nm,S2_600nm,S2_640nm,S2_690nm,S2_745nm,S2_855nm,S3_405nm,S3_425nm,S3_450nm,S3_475nm,S3_515nm,S3_550nm,S3_555nm,S3_600nm,S3_640nm,S3_690nm,S3_745nm,S3_855nm,S4_405nm,S4_425nm,S4_450nm,S4_475nm,S4_515nm,S4_550nm,S4_555nm,S4_600nm,S4_640nm,S4_690nm,S4_745nm,S4_855nm,S5_405nm,S5_425nm,S5_450nm,S5_475nm,S5_515nm,S5_550nm,S5_555nm,S5_600nm,S5_640nm,S5_690nm,S5_745nm,S5_855nm,S6_405nm,S6_425nm,S6_450nm,S6_475nm,S6_515nm,S6_550nm,S6_555nm,S6_600nm,S6_640nm,S6_690nm,S6_745nm,S6_855nm,S7_405nm,S7_425nm,S7_450nm,S7_475nm,S7_515nm,S7_550nm,S7_555nm,S7_600nm,S7_640nm,S7_690nm,S7_745nm,S7_855nm,AVG_405nm,AVG_425nm,AVG_450nm,AVG_475nm,AVG_515nm,AVG_550nm,AVG_555nm,AVG_600nm,AVG_640nm,AVG_690nm,AVG_745nm,AVG_855nm
Asphalt_0cm_S11,2026-04-25T10:00:53.090723,2,6,54,74,72,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.75,70.12,70.12,27.0,96.0,88.75,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.170947,2,6,55,74,73,25,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,57.0,70.12,70.25,27.0,96.0,88.75,83.38,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.251078,2,6,55,74,73,25,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,57.0,70.12,70.25,26.88,96.0,88.62,83.38,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.331127,2,6,55,74,72,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.88,70.12,70.12,26.88,96.0,88.62,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.410904,2,6,55,74,72,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,5,41,48,52,20,74,68,62,40,5,3,2.12,7.62,56.88,70.12,70.12,26.88,96.0,88.62,83.38,52.38,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.491738,2,6,54,74,73,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,5,41,48,52,20,74,68,62,40,5,3,2.12,7.62,56.75,70.12,70.25,27.0,96.0,88.62,83.38,52.38,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.582998,2,6,54,74,73,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,47,59,56,22,77,72,68,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,5,41,47,52,20,74,68,62,41,5,3,2.12,7.62,56.88,70.0,70.25,27.0,96.0,88.62,83.5,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.668007,2,6,54,74,73,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,109,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,47,59,56,22,77,72,68,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,5,41,47,52,20,74,68,62,41,5,3,2.12,7.62,56.88,70.0,70.25,26.88,96.12,88.62,83.5,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:53.776255,2,6,54,74,73,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,109,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,3,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.75,70.12,70.25,26.88,96.12,88.62,83.38,52.5,6.25,3.62
Asphalt_0cm_S11,2026-04-25T10:00:53.857496,2,6,54,74,72,25,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,3,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.88,70.12,70.12,26.88,95.88,88.62,83.38,52.5,6.25,3.62
Asphalt_0cm_S11,2026-04-25T10:00:53.942892,2,6,54,74,72,25,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,1,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,47,52,20,74,68,62,41,5,3,1.88,7.75,56.88,70.0,70.12,27.0,95.88,88.62,83.38,52.5,6.38,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.026452,2,6,54,74,73,25,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,80,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,11,6,3,12,84,96,100,39,138,126,117,72,9,5,1,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,47,52,20,74,68,62,41,5,3,1.88,7.75,56.88,69.88,70.12,27.0,95.88,88.62,83.25,52.38,6.38,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.107609,2,6,55,74,73,25,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,80,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,11,6,3,12,84,96,100,39,138,126,117,72,9,5,2,6,47,59,56,22,77,72,67,43,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,57.12,70.0,70.12,26.88,95.88,88.62,83.25,52.38,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.191181,2,6,55,74,73,25,94,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,47,59,56,22,77,72,67,43,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,57.0,70.12,70.25,26.88,96.0,88.62,83.38,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.279651,2,6,54,74,72,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,47,59,56,22,77,72,67,43,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.88,70.12,70.12,27.0,96.0,88.62,83.38,52.38,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.357855,2,6,54,74,72,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,137,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.75,70.12,70.12,27.0,95.88,88.62,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.445136,2,6,54,74,72,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,137,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.75,70.12,70.12,27.0,95.88,88.62,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.523976,2,6,54,74,72,26,94,84,76,48,6,3,2,6,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,87,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,3,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.62,56.88,70.12,70.12,27.0,96.0,88.75,83.38,52.38,6.25,3.62
Asphalt_0cm_S11,2026-04-25T10:00:54.609496,2,6,54,74,73,26,94,84,76,49,6,3,2,6,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,87,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,3,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.62,56.88,70.12,70.25,27.12,96.0,88.75,83.38,52.5,6.25,3.62
Asphalt_0cm_S11,2026-04-25T10:00:54.710607,2,6,54,74,73,26,94,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,93,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,137,126,117,73,9,5,2,6,46,59,56,22,77,73,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.75,70.12,70.25,27.12,95.88,88.75,83.12,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.795445,2,6,55,74,73,26,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,93,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,137,126,117,73,9,5,2,6,46,59,56,22,77,73,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,57.0,70.12,70.25,27.0,95.88,88.75,83.12,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.898877,2,6,55,74,73,26,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,109,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,51,20,74,68,62,41,5,3,2.0,7.75,57.0,70.12,70.12,27.0,96.12,88.75,83.38,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:54.996309,2,6,54,74,73,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,51,20,74,68,62,41,5,3,2.0,7.75,56.88,70.12,70.12,27.0,96.0,88.75,83.38,52.5,6.38,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.091217,2,6,54,74,73,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,117,73,9,5,2,6,46,59,56,22,77,72,67,44,4,3,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.88,70.12,70.25,27.0,96.0,88.62,83.25,52.5,6.25,3.62
Asphalt_0cm_S11,2026-04-25T10:00:55.174922,2,6,54,74,72,26,94,84,76,48,6,3,2,6,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,3,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.62,56.75,70.12,70.12,27.0,95.88,88.62,83.38,52.5,6.12,3.62
Asphalt_0cm_S11,2026-04-25T10:00:55.277763,2,6,54,74,73,26,94,84,76,49,6,3,2,6,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.62,56.75,70.12,70.25,27.0,95.88,88.62,83.38,52.62,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.358422,2,6,54,74,73,26,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,6,3,12,84,96,100,39,138,127,117,73,8,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.88,70.0,70.25,27.12,96.0,88.75,83.25,52.62,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.445358,2,6,55,74,72,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,6,3,12,84,96,100,39,138,127,117,73,8,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,57.0,70.0,70.12,27.12,96.0,88.75,83.25,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.527584,2,6,55,74,72,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,10,6,3,12,84,96,100,39,138,126,117,73,9,5,2,6,46,59,56,22,77,72,67,43,4,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,57.0,70.0,70.12,27.12,95.88,88.62,83.25,52.38,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.614083,2,6,54,74,73,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,151,142,139,88,10,6,3,12,84,96,100,39,138,126,117,73,9,5,2,6,46,59,56,22,77,72,67,43,4,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.88,70.0,70.25,27.12,95.88,88.62,83.25,52.38,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.707249,2,6,54,74,73,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,87,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,28,3,2,1,5,41,48,52,20,74,68,62,41,5,3,2.0,7.62,56.88,70.12,70.25,27.12,96.0,88.62,83.38,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.793992,2,6,54,74,73,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,87,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,28,3,2,1,5,41,48,52,20,74,68,62,41,5,3,2.0,7.62,56.75,70.12,70.25,27.12,96.0,88.62,83.38,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:55.901613,2,6,54,74,73,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,7,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.75,70.12,70.25,27.12,96.0,88.62,83.38,52.5,6.25,3.62
Asphalt_0cm_S11,2026-04-25T10:00:55.984148,2,6,55,74,72,26,94,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.88,70.12,70.12,27.12,96.0,88.62,83.38,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.093277,2,6,54,74,73,26,94,84,77,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.75,70.12,70.25,27.12,96.0,88.62,83.5,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.174339,2,6,54,74,73,26,94,84,77,48,6,3,1,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,117,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,1.88,7.75,56.88,70.12,70.25,27.12,96.0,88.62,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.279336,2,6,55,74,72,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,126,117,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,40,5,3,2.0,7.75,56.88,70.12,70.12,27.0,96.0,88.62,83.25,52.38,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.360824,2,6,55,74,72,26,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,40,5,3,2.0,7.75,56.88,70.12,70.12,27.25,96.0,88.62,83.38,52.38,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.442537,2,6,55,74,73,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,2,5,41,48,52,20,74,68,62,41,5,3,2.12,7.62,56.88,70.12,70.25,27.12,96.0,88.62,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.574371,2,6,55,74,73,25,94,84,76,48,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,93,58,7,4,3,12,86,107,107,42,151,142,139,88,10,6,3,12,84,96,100,39,138,127,117,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.88,70.0,70.25,27.0,95.88,88.75,83.12,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.661886,2,6,54,74,73,25,94,84,76,49,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,73,67,43,5,2,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.88,70.12,70.25,27.0,96.0,88.88,83.38,52.5,6.38,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.748059,2,6,55,74,73,26,94,84,76,48,6,3,2,7,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,73,67,43,5,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,57.0,70.12,70.25,27.0,96.0,88.88,83.38,52.38,6.38,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.853269,2,6,55,74,73,26,94,84,76,48,6,3,2,6,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,137,126,118,73,9,5,2,6,47,59,56,22,77,73,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.62,57.12,70.12,70.25,27.0,95.88,88.75,83.38,52.5,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:56.932195,2,6,55,73,73,26,93,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,11,6,3,12,84,97,100,39,137,126,118,73,9,5,2,6,47,59,56,22,77,73,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,57.0,70.0,70.25,27.0,95.75,88.75,83.38,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:57.014681,2,6,55,73,73,26,93,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,7,3,12,84,97,100,39,137,126,117,73,9,5,2,6,46,59,56,22,77,73,67,44,4,3,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.75,56.88,70.0,70.25,27.25,95.75,88.75,83.25,52.62,6.25,3.75
Asphalt_0cm_S11,2026-04-25T10:00:57.106938,2,6,54,74,72,26,94,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,80,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,7,3,12,84,97,100,39,137,126,117,73,9,5,2,6,46,59,56,22,77,73,67,44,4,3,1,4,28,42,36,15,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.75,70.12,70.0,27.25,95.88,88.75,83.25,52.62,6.25,3.75
Asphalt_0cm_S11,2026-04-25T10:00:57.190264,2,6,54,74,72,26,94,84,76,49,6,3,2,7,50,58,57,22,78,70,65,41,5,3,2,9,65,76,80,31,108,101,94,58,7,4,3,12,86,107,107,43,152,142,139,88,11,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,1,6,41,48,52,20,74,68,62,41,5,3,2.0,7.75,56.75,70.12,70.0,27.12,96.0,88.62,83.38,52.62,6.25,3.5
Asphalt_0cm_S11,2026-04-25T10:00:57.295232,2,6,55,74,72,25,94,84,76,48,6,3,2,6,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,126,118,73,9,5,2,6,46,59,56,22,77,72,67,44,4,2,1,4,28,42,36,14,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.62,57.0,70.12,70.12,26.88,96.0,88.62,83.38,52.5,6.12,3.5
Asphalt_0cm_S11,2026-04-25T10:00:57.378385,2,6,55,74,72,25,94,84,76,48,6,3,2,6,51,58,57,22,78,70,65,41,5,3,2,9,65,76,81,31,108,101,94,58,7,4,3,12,86,107,107,42,152,142,139,88,10,6,3,12,84,97,100,39,138,127,118,73,9,5,2,6,46,59,56,22,77,72,67,44,5,2,1,4,28,42,36,15,47,46,46,27,3,2,2,6,41,48,52,20,74,68,62,41,5,3,2.12,7.62,57.0,70.12,70.12,27.0,96.0,88.75,83.38,52.5,6.25,3.5
